,eng,mar,eng_layer_1,mar_layer_1,eng_layer_8,mar_layer_8,eng_layer_16,mar_layer_16,eng_layer_24,mar_layer_24,eng_layer_30,mar_layer_30
99,theyll build a house,ते एक घर बांधतील,[[ 0.0851   -0.014305  0.2212   ... -0.2069   -0.008156  0.005226]],[[ 0.628   -0.082    0.10925 ...  0.1532  -0.3906  -0.0738 ]],[[ 0.827   0.1671 -0.2805 ... -0.593  -0.3462  0.4854]],[[ 0.761   -0.3179  -0.04193 ...  0.223   -0.748    0.3801 ]],[[-0.1698   -0.001074  0.0331   ... -0.899    -0.6426    0.832   ]],[[ 0.2438 -0.3645 -0.187  ...  0.765  -0.9297  0.3833]],[[ 0.1769 -1.173   0.3105 ...  0.3884 -1.857   2.709 ]],[[-0.3096 -0.1957 -0.832  ...  0.7256 -1.011   1.324 ]],[[ 0.0731 -0.655  -0.2166 ... -0.848  -0.713   1.769 ]],[[-0.248  -0.668  -0.0704 ...  0.596  -0.7837 -0.2162]]
100,if you find my wallet please call me,माझं पाकीट सापडलं तर मला फोन करा,[[-0.1217 -0.2605  0.69   ...  0.522   0.2047  0.4038]],[[ 0.0309  0.2465  0.3125 ...  0.1884 -0.2812  0.2866]],[[-0.5674 -0.814   0.5957 ... -0.1113  0.1667  1.24  ]],[[ 0.2993  1.406  -0.2329 ...  0.7754 -0.4595  0.3535]],[[-0.2041 -0.736   0.1987 ...  0.2568 -0.501   1.718 ]],[[ 0.2395  0.9146 -0.0976 ...  0.3245 -0.4185  0.4836]],[[-0.489  -0.2231 -0.2354 ...  2.21   -0.9097  2.842 ]],[[-1.225  0.859 -1.462 ...  0.784 -0.591  0.518]],[[-1.023   0.356  -1.762  ...  1.024  -0.6577  2.188 ]],[[-0.716   1.627   1.583  ...  1.797  -0.713   0.0211]]
101,first it thundered and then it started to rain,आधी वीज पडली आणि मग पाऊस पडू लागला,[[ 0.3086  -0.01692  0.1362  ... -0.7827   0.251   -0.04697]],[[ 0.06116  0.3      0.02997 ... -0.0504   0.00958 -0.0693 ]],[[ 0.6284  0.0659 -0.095  ... -0.7     0.618   0.0663]],[[ 0.1821    0.614    -0.6025   ... -0.315    -0.04083   0.008934]],[[ 1.035    0.12256  0.0313  ... -0.05884 -0.326   -0.2307 ]],[[ 0.824   1.228  -0.2769 ... -0.0788 -0.6436 -0.1138]],[[ 2.383   1.082   0.806  ... -1.482  -0.5327 -0.393 ]],[[ 0.0608  0.849  -1.814  ... -0.0195 -1.523   0.2637]],[[ 2.71     1.338   -0.681   ... -2.426    0.04495  0.1404 ]],[[-0.4185  1.292  -0.1678 ... -0.2463  0.1344 -1.06  ]]
102,wheres your sister,तुझी बहीण कुठेय,[[ 0.1975  0.3928  0.6016 ...  0.3062 -0.266   0.6494]],[[ 0.4985  -0.06726  0.2493  ...  0.0205  -0.1426   0.4521 ]],[[-0.0094  0.6206 -0.4678 ...  0.0748 -0.2834  1.341 ]],[[ 0.7227  -0.1509  -0.10657 ...  0.06445 -0.4143   1.362  ]],[[ 0.354    0.00415 -1.      ... -0.10425  0.1034   1.118  ]],[[ 0.445   -0.522    0.1696  ...  0.08264 -0.2837   2.023  ]],[[ 1.421   0.2302 -1.98   ... -0.5396  0.1382  1.068 ]],[[ 0.1934  0.6777 -0.1957 ... -0.1704  0.3079  2.701 ]],[[ 0.2279  1.663  -1.758  ... -0.1946 -1.139   0.965 ]],[[ 0.02708  1.505    0.568   ... -0.8433   0.593    2.162  ]]
103,i do not understand the exact meaning of this sentence,या वाक्याचा नेमका अर्थ मला समजत नाहीये,[[-0.1206    0.011734  0.02649  ...  0.01253  -0.1787    0.2998  ]],[[ 0.4932 -0.1375  0.0378 ...  0.2737 -0.2437  0.0384]],[[ 0.2161  -0.1934   0.0828  ... -0.02612 -0.186    0.462  ]],[[ 0.9404  1.114  -0.555  ... -0.2588 -0.1293  0.1284]],[[-0.1075 -0.4285  0.2021 ...  0.0852 -0.2834  1.002 ]],[[ 0.4758  0.3909 -1.127  ... -0.834   0.519   0.1865]],[[-1.061  -0.8633 -0.568  ...  0.723   0.3787  0.2737]],[[-1.19     0.3584  -2.582   ... -0.10913  0.8867   0.259  ]],[[-0.8833   1.056   -0.8486  ... -0.237   -0.1237  -0.01358]],[[-0.4707  0.629  -3.168  ... -1.986   0.2283 -1.387 ]]
104,british english differs from american english in many ways,ब्रिटिश इंग्रजी व अमेरीकी इंग्रजीमध्ये विभन्न प्रकाराचे फरक आहेत,[[-0.2496  -0.043    0.1047  ...  0.1604  -0.02783  0.297  ]],[[-0.05365  -0.4392    0.07434  ...  0.005337 -0.3218    0.1562  ]],[[-0.1786    0.02838  -0.002398 ... -0.502    -0.1512    0.3164  ]],[[ 0.353    0.391   -0.3738  ...  0.5195  -0.2996   0.08545]],[[-0.9463  -0.08026  0.536   ... -0.9907  -0.1969   0.1613 ]],[[-0.2316   -0.05038  -0.009224 ...  0.2734   -0.1895   -0.156   ]],[[-2.213   1.152   0.5327 ... -1.527  -0.9766 -0.5137]],[[-1.545   0.9395 -0.9414 ...  0.7266 -0.3418 -0.4734]],[[-2.436   2.707  -0.7866 ... -1.691  -1.334   0.7617]],[[-0.4238   0.3667  -0.07184 ... -1.336    1.44    -0.219  ]]
105,i live next to an old bookshop,मी पुस्तकांच्या एका जुन्या दुकानाच्या बाजूला राहतो,[[-0.4805  -0.04523  0.2015  ... -0.06042  0.2566   0.3184 ]],[[-0.115    0.09705  0.1272  ...  0.42    -0.2177   0.59   ]],[[-0.05695  0.02313  0.4373  ... -0.1853   0.3333   0.7954 ]],[[-0.1086   1.068    0.04553 ...  1.127   -0.1116   0.7705 ]],[[ 0.315   -0.02905  0.4958  ... -0.881    0.3833   0.6704 ]],[[-0.4656   0.2334  -0.01749 ...  1.117   -0.0487   0.00515]],[[ 0.551   0.332   0.8403 ... -0.527   0.7036  0.6665]],[[-2.408   0.0379 -1.009  ...  1.494   0.7563  0.5317]],[[-0.368   1.965   0.529  ... -1.325   0.1753  0.7134]],[[-0.5107  0.447   0.1617 ...  1.769   1.253   0.2788]]
106,she defeated him,त्यांनी त्याला हरवलं,[[ 0.411  -0.1654  0.3293 ...  0.0433  0.85    0.4084]],[[ 0.2234 -0.0924  0.321  ...  0.5845  0.3936  0.295 ]],[[ 0.5254 -0.508   0.1471 ... -0.0822 -0.26    0.8096]],[[ 1.315   0.3862  1.18   ...  0.9873 -0.0409  0.757 ]],[[ 0.6587 -0.3584  0.658  ... -0.2651  0.75    0.9365]],[[ 1.172    0.3652   0.6733  ...  0.839   -0.01685  0.643  ]],[[ 0.9775 -1.449   0.3423 ... -1.15    0.4343  0.8853]],[[ 0.03455 -0.2487   0.1197  ...  0.6816   0.7705   1.14   ]],[[ 0.4897 -0.1914 -0.7007 ... -2.273  -0.4907  1.267 ]],[[-0.8037  -0.885   -0.08673 ...  2.36     0.376   -0.746  ]]
107,french is her native language,फ्रेंच त्यांची मातृभाषा आहे,[[ 0.1774 -0.2325  0.1886 ... -0.8916  0.2788 -0.3198]],[[-0.02803 -0.279    0.3286  ...  0.0492  -1.051   -0.516  ]],[[-0.1519 -0.4548  0.089  ... -1.215   0.2104  0.1835]],[[-0.502    0.556    0.02043 ...  0.3992  -0.7954  -0.3696 ]],[[ 0.4253  0.4202  0.6333 ... -1.215  -0.3777 -0.3271]],[[-0.3408   0.4858   0.1943  ...  0.8154  -0.01465 -0.383  ]],[[-0.2703   1.301    0.1924  ... -0.5884  -0.03488 -2.24   ]],[[-1.744   0.606  -0.651  ...  0.4282  0.674  -1.798 ]],[[-0.6953  3.139  -0.86   ... -0.496  -0.793  -1.427 ]],[[-1.657   0.1451  0.9473 ...  0.28    0.4536 -2.336 ]]
108,tom has a beard,टॉमला दाढी आहे,[[-0.3467 -0.4707 -0.0929 ...  0.6436  0.4895  0.1768]],[[ 0.2166   0.1407   0.407   ... -0.03766 -0.3328   0.2318 ]],[[ 0.1843  -0.10956 -0.0684  ... -0.4739   0.3325   0.8457 ]],[[ 0.4749   0.502    0.1076  ... -0.6025  -0.03111  0.291  ]],[[-0.314  -0.1722  0.3296 ... -0.5156  0.3064  0.785 ]],[[ 0.621    0.701    0.439   ...  0.05698  0.1871  -0.3362 ]],[[-0.743   0.324  -0.0965 ...  0.1403  0.742   1.823 ]],[[-0.701    0.81    -0.1476  ... -0.02672  0.7563   0.734  ]],[[-0.521   0.2118 -0.8164 ... -0.539   0.1996  0.46  ]],[[-0.741   0.5215  2.375  ...  0.8936 -0.0219 -0.6797]]
109,i like your car,मला तुझी गाडी आवडते,[[-0.2678   0.05682  0.4834  ...  0.5894  -0.1443   0.514  ]],[[ 0.006855 -0.0665   -0.01901  ...  0.2239   -0.155    -0.3638  ]],[[ 0.0895   -0.04327   0.677    ... -0.2164    0.0572   -0.003906]],[[ 0.686   1.039  -0.0415 ...  0.6733  0.5576  0.6196]],[[ 0.515   -0.5166   1.053   ... -0.1536   0.03564  0.874  ]],[[ 0.8823  0.3054 -0.2114 ...  0.533   0.2258  0.5312]],[[ 1.325  -0.5215  1.253  ...  1.718   0.289   0.484 ]],[[ 0.4644  0.816  -0.6553 ...  0.588   0.692   1.248 ]],[[-0.1095  0.7573  0.3135 ...  0.8467  0.353   0.5107]],[[0.08   0.924  1.604  ... 0.6973 0.6216 0.3743]]
110,the house was on the right side of the road,घर रस्त्याच्या उजव्या बाजूला होतं,[[-0.07086 -0.02708  0.3096  ...  0.164    0.0891  -0.2329 ]],[[ 0.1221  0.1016  0.1144 ... -0.0706 -0.3164  0.5903]],[[ 0.39   -0.0651 -0.0234 ...  0.3496 -0.2451  0.3066]],[[0.57    0.562   0.2479  ... 0.03992 0.2905  1.317  ]],[[ 0.07294 -0.05826  0.2683  ...  0.4834  -0.2045   0.279  ]],[[-0.09143  0.3997  -0.0173  ...  0.4124  -0.1648   0.6826 ]],[[ 0.2185 -0.1708  0.312  ...  1.825  -0.4395  0.625 ]],[[-0.3813 -0.659  -0.14   ...  0.7144  0.2559  1.715 ]],[[ 0.451  -0.2651 -0.734  ...  0.2144  0.87    0.5854]],[[-0.03348 -0.697   -1.157   ...  0.9688   0.0327   1.249  ]]
111,he smokes twenty cigarettes per day,ते दिवसाला वीस सिगरेट ओढतात,[[-0.1589  0.288  -0.0893 ...  0.1567  0.2603  0.3994]],[[-0.4404 -0.606  -0.2075 ...  0.2444  0.1086  0.5464]],[[0.3762  0.1925  0.04373 ... 0.4734  0.3691  0.1151 ]],[[ 0.04208  0.2396  -0.3281  ...  0.7876   0.1267   1.074  ]],[[ 0.2467   -0.623     0.004986 ...  0.516     1.124     2.178   ]],[[ 0.105   0.382  -0.2002 ...  1.176  -0.1923  1.594 ]],[[-0.06726 -0.799    0.4192  ...  2.502    1.833    2.979  ]],[[-0.876    0.6924  -1.041   ...  1.8     -0.04135  2.953  ]],[[ 0.068   0.904  -0.262  ...  0.558   0.5703  1.896 ]],[[ 0.4307   0.8594  -0.03845 ...  0.722    0.7153   0.6206 ]]
112,where are your kids,तुमची मुलं कुठे आहेत,[[ 0.1029  0.0916  0.4946 ... -0.1001 -0.5527  0.1114]],[[ 0.454   0.2109  0.6543 ...  0.2068 -0.5225 -0.1309]],[[ 0.7344  0.2588 -0.1154 ... -0.4792 -0.4673  0.0945]],[[ 0.2507  0.6567  0.4973 ...  0.3843 -0.192   0.965 ]],[[ 0.771  -0.3242 -0.508  ... -0.7617 -0.3015  0.2444]],[[ 0.6245   0.09186 -0.477   ...  0.2917  -0.3928   1.052  ]],[[ 0.3025 -0.5093 -1.534  ... -0.441   0.5117  0.5684]],[[-1.386  -0.0964 -1.325  ...  0.779  -0.668   1.066 ]],[[-0.0635  0.9834 -1.847  ... -1.168   0.4531 -0.2314]],[[-1.149  -0.1006  0.5254 ...  0.8203 -0.302  -0.366 ]]
113,we werent in boston last year,आम्ही गेल्या वर्षी बॉस्टनमध्ये नव्हतो,[[0.12036 0.2964  0.591   ... 0.06046 0.4482  0.0331 ]],[[-0.2246  0.633   0.1919 ...  0.3464 -0.4463 -0.171 ]],[[ 0.1152  0.2035  0.6646 ... -0.3877  0.3628  0.5713]],[[ 0.1724   1.164    0.4146  ...  0.0401  -0.4185   0.02997]],[[ 0.1511  -0.2383   0.6567  ... -0.2251   0.05316  0.737  ]],[[ 0.04608  0.3806  -0.1465  ...  0.4248  -0.4507  -0.0379 ]],[[-0.4175 -0.4802  0.8975 ...  0.2556 -0.2026  0.754 ]],[[-0.0323  0.5127 -2.408  ... -0.309  -0.2047  0.2079]],[[-0.704   0.4353 -0.2815 ... -0.7515  0.1992  1.113 ]],[[ 1.319    0.3523  -0.2517  ... -0.04474  1.443   -0.4553 ]]
114,well be there,आम्ही पोहोचू,[[-0.75   -0.2708  0.4507 ... -0.4197  0.3828 -0.3071]],[[-0.1946   1.253    0.11835 ... -0.2445  -0.09125 -0.6904 ]],[[-0.5312  -0.545   -0.0662  ...  0.3252   0.01188  0.69   ]],[[ 0.6436   1.329   -0.5273  ... -0.1757  -0.625   -0.12286]],[[-0.5654 -0.846  -0.1008 ...  1.066   0.2362  1.476 ]],[[ 0.6763   0.89    -0.9575  ... -0.02116 -1.33     0.2551 ]],[[ 0.2362  0.2861  0.1077 ...  2.5    -1.242   3.592 ]],[[ 0.2502  -0.2303  -0.829   ... -0.03992 -1.482    1.787  ]],[[-0.8887  0.368  -0.9824 ... -0.6973 -1.161   2.736 ]],[[2.162  0.541  0.9043 ... 2.072  0.3118 1.042 ]]
115,who taught tom how to speak french,टॉमला फ्रेंच बोलायला कोणी शिकवलं,[[-0.25     0.09125  0.3713  ...  0.501    0.298   -0.05478]],[[ 0.09357 -0.06494  0.134   ... -0.1366  -0.03442  0.247  ]],[[-0.002651  0.05392   0.3928   ... -0.4814    0.4033    0.2491  ]],[[ 0.04468  0.1138   0.09863 ... -0.3704   0.2175   0.531  ]],[[ 0.04535  0.01402  0.8584  ... -0.5557   0.997    0.3862 ]],[[0.2837  0.5264  0.02176 ... 0.06305 0.664   0.6235 ]],[[-1.436   0.3135  1.295  ...  0.333   1.652   0.649 ]],[[-1.378   0.4817 -1.454  ... -0.2656  1.4795  1.646 ]],[[-0.954    1.017    0.08203 ... -1.76     0.9414   0.9106 ]],[[-1.218   1.324   0.3184 ...  0.0933  0.7     0.1613]]
116,doing that wouldnt have changed a thing,तसं केलं असतं तरी काहीही फरक पडला नसता,[[0.00236 0.03796 0.3135  ... 0.032   0.1243  0.05334]],[[ 0.06665 -0.09863  0.03918 ...  0.1553   0.587    0.1317 ]],[[-0.0736 -0.2423  0.1476 ... -0.3706  0.0757  0.2563]],[[-0.01389  0.2854  -0.623   ...  0.725   -0.1087   0.1816 ]],[[ 9.384e-03 -4.934e-01  9.106e-02 ... -3.030e-02  4.339e-04  6.465e-01]],[[-0.2595  0.4912 -0.753  ...  0.536  -1.279   0.4895]],[[ 0.714   -1.13     0.6914  ...  1.117   -0.06464  0.5854 ]],[[-1.392   0.424  -2.104  ...  0.3225 -0.9497  0.9844]],[[ 0.5596  -0.10706  0.76    ...  0.3433   0.00934  0.4624 ]],[[-0.983   1.122  -0.9414 ... -0.7417 -0.5684 -0.31  ]]
117,forget tom,टॉमला विसरून जा,[[-0.8555 -0.0772  0.657  ...  0.1709  0.9097  0.7017]],[[ 0.3757    0.10394   0.3413   ... -0.011536 -0.203     0.3835  ]],[[-0.6875 -0.2507  0.2502 ... -0.6157  1.045   0.914 ]],[[ 0.2905   0.04434  0.3613  ... -0.8027  -0.0663   0.4312 ]],[[-0.7983  -1.195    0.02881 ... -0.6226   2.037    1.554  ]],[[ 0.8887 -0.1718  0.0766 ...  0.3145 -0.3828  0.4304]],[[-1.468  -2.316  -0.636  ...  0.696   2.666   0.2135]],[[ 0.0397  0.3857 -0.876  ...  0.699   0.0913  2.23  ]],[[-0.3499  -0.1255  -1.042   ... -0.929    0.2496   0.02473]],[[0.286   0.01432 1.514   ... 1.0625  0.0849  0.9683 ]]
118,it took me an hour and a half to get there by car,तिथे गाडीने पोहोचायला मला दीड तास लागला,[[-0.03775 -0.01723  0.4485  ...  0.2786   0.2056   0.2382 ]],[[ 0.2922   0.10736  0.361   ...  0.1181  -0.1337   0.4006 ]],[[ 0.2263 -0.1688  0.1785 ... -0.226   0.416   0.3953]],[[ 0.02454  0.699   -0.1498  ...  0.3298  -0.3171   0.4573 ]],[[ 1.036   -0.2007  -0.1675  ... -0.1083   0.03558  1.1    ]],[[ 0.406   0.3345 -0.7065 ...  0.3154 -0.3025  0.6133]],[[ 1.2     1.152  -0.4026 ... -0.2595  0.2847  2.295 ]],[[-0.998   -0.04755 -2.31    ...  0.2896   0.2109   0.954  ]],[[ 0.857   1.392  -1.721  ... -0.84    0.8306  0.8555]],[[ 0.3638   -0.3027   -0.9824   ... -0.002155  0.6426   -0.10706 ]]
119,we had no other option,आमच्याकडे अजून कोणताही पर्याय नव्हता,[[-0.02548  0.0412   0.4514  ...  0.3372   0.4338   0.474  ]],[[-0.03537  0.0694  -0.03775 ...  0.1952   0.1825  -0.03635]],[[-0.05988 -0.3367  -0.3225  ... -0.2588   0.03656  1.556  ]],[[-0.1995  -0.0977   0.02591 ...  0.2047   0.02794  0.487  ]],[[-0.1305 -0.7095 -0.0681 ... -0.0768 -0.3044  2.17  ]],[[ 0.3132 -0.2471 -0.3499 ... -0.125  -0.2751  0.5303]],[[-0.6816   -1.18     -1.6      ...  1.694    -0.004395  2.582   ]],[[-0.4724  -0.858   -1.451   ... -0.26     0.2625  -0.04703]],[[-0.7646   0.03616 -0.578   ...  0.1818  -0.2207   0.6187 ]],[[ 0.2068 -1.547   0.4187 ... -2.225   0.374  -0.253 ]]
120,they watched me in silence,त्या मला शांततेने बघत राहिल्या,[[-0.2563  -0.1791   0.687   ... -0.2362  -0.11053 -0.06866]],[[-0.02953 -0.0692   0.5073  ...  0.1998  -0.0454   0.672  ]],[[ 0.3845  0.2128  0.501  ... -0.2764  0.2559  0.6016]],[[ 0.5166   1.305   -0.05164 ...  0.2382  -0.325    0.03543]],[[-0.2764  -0.279    0.05167 ... -0.321    0.6675   1.145  ]],[[ 0.0487  0.8325 -0.174  ...  0.776  -0.701   0.3423]],[[-0.8247  0.3132  0.2537 ... -0.4172  0.1102  1.49  ]],[[-1.146   0.2305 -0.3843 ...  0.3276 -0.8877  1.217 ]],[[-0.456   0.605  -1.129  ... -2.426   0.5317  0.93  ]],[[-0.0818 -0.5024  0.4248 ...  1.399  -0.5044  0.1802]]
121,everyone started arguing,सगळे भांडायला लागले,[[0.0755  0.2725  0.662   ... 0.01416 0.4822  0.121  ]],[[ 0.871  -0.4849 -0.317  ... -0.2086 -0.0315  1.046 ]],[[ 0.282   -0.01897 -0.9033  ... -0.635    0.2307   0.845  ]],[[ 0.6626   0.0659  -0.5522  ...  0.3115  -0.10254  1.822  ]],[[ 0.9463  0.1934 -0.3958 ... -0.7905  0.997   0.4238]],[[ 0.543    0.03027 -0.529   ...  0.1111  -0.4856   1.782  ]],[[ 1.223   0.2415 -1.118  ...  0.6333  1.978   1.387 ]],[[-0.551 -0.634 -1.39  ...  0.748 -0.545  2.535]],[[ 0.4097  1.014  -3.451  ... -0.4443  0.4229  1.6   ]],[[ 1.166   1.297  -0.8125 ...  1.361   0.3137  2.326 ]]
122,give me the book,मला पुस्तक द्या,[[-0.7075 -0.1301  0.6743 ...  0.1357  0.2212  0.3733]],[[ 0.2776 -0.2363  0.4773 ...  0.5015 -0.1776 -0.697 ]],[[-0.6626  0.2761  0.4272 ... -0.8555  0.0869  0.388 ]],[[ 0.829   0.737   0.3281 ...  0.6094 -0.891  -0.6704]],[[ 0.03137  0.0567  -0.00934 ... -0.5347   0.7114   0.7324 ]],[[ 0.6846   0.5283  -0.00586 ...  0.3655  -0.9707  -0.7075 ]],[[0.2253  0.3477  1.381   ... 0.7705  0.08496 1.533  ]],[[-1.458   0.1729 -0.0666 ...  1.636  -0.899   0.885 ]],[[ 0.2205  1.427  -0.9893 ... -0.1184 -0.0992  1.273 ]],[[-1.404   1.141   2.115  ...  1.323  -0.0518 -0.2316]]
123,is tom jackson your real name,टॉम जॅक्सन हे तुमचं खरं नाव आहे का,[[-0.10004 -0.2273   0.2969  ...  0.4172   0.3252   0.643  ]],[[ 0.0879   0.1262   0.1127  ... -0.1323  -0.03065  0.532  ]],[[-0.3826 -0.2211 -0.1029 ... -0.2433  1.1     1.069 ]],[[ 0.3572   -0.004246 -0.2155   ... -0.0881    0.063     1.37    ]],[[-0.701  -0.64    0.3467 ... -0.634   0.4595  0.558 ]],"[[ 3.2007e-01 -1.9250e-01 -3.9624e-01 ...  1.2445e-01 -4.1318e-04
   1.0166e+00]]",[[-1.168  -1.489   0.3066 ... -0.1431  0.189   0.75  ]],[[-0.1332 -0.1121 -1.401  ...  0.7925 -0.1802  1.566 ]],[[-1.425  -0.7695  0.3472 ... -0.85   -0.56    1.136 ]],[[-0.1393   0.10693 -0.3503  ...  0.501   -0.04715 -0.3367 ]]
124,are you vegetarian,तू शाकाहारी आहेस का,[[ 0.6953  0.779   0.8306 ... -0.2966 -0.4368  0.1942]],[[ 0.02168  0.3494  -0.1808  ... -0.3682  -0.482    0.2402 ]],[[0.5225 0.1544 0.6323 ... 0.183  0.1009 0.762 ]],[[ 0.9697  0.73   -0.7715 ...  0.1204 -0.5664  0.4944]],[[ 0.3538   0.01799  1.083   ...  0.5     -0.8833   1.007  ]],[[ 1.045    0.9507  -0.11316 ...  0.1188  -0.6904   1.217  ]],[[-0.5054  1.102   1.071  ...  1.221  -1.188   2.178 ]],[[-0.02539  0.8877  -0.9414  ...  0.528   -0.6934   1.86   ]],[[-0.6284  2.336   1.042  ... -0.3464 -1.524   1.447 ]],[[ 0.03256  1.579    1.44    ... -0.2057   0.03418  0.26   ]]
125,i remember all that,मला ते सगळं आठवतं,[[-0.38     -0.004395  0.137    ...  0.04346  -0.1758    0.1482  ]],[[0.311    0.002476 0.2817   ... 0.3142   0.1821   0.5547  ]],[[-0.344   -0.00885  0.108   ... -0.2615   0.2642   0.8535 ]],[[0.784  0.7803 0.4055 ... 0.3696 0.1646 0.91  ]],[[-0.677   -0.2269   0.3499  ... -0.4968  -0.06174  1.248  ]],[[ 0.3628  0.3042  0.107  ...  0.3525 -0.2029  0.6367]],[[-0.4294  0.3853 -0.1904 ... -1.264  -0.498   1.124 ]],[[-0.7485   0.02185 -1.701   ... -0.4307   0.2009   1.433  ]],[[-0.577   1.58   -1.047  ... -2.27   -0.8496  0.348 ]],[[ 0.01286  0.6675  -1.03    ...  0.849    0.694    0.03207]]
126,what woke you up,तुला कशाने जाग आली,[[ 0.10077  0.4114   0.2593  ... -0.4475  -0.0856   0.1239 ]],[[ 0.4355   0.1685  -0.2856  ... -0.3816   0.06744  0.727  ]],[[-0.4683  0.1461  0.277  ... -0.4507  0.2197  0.723 ]],[[-0.1819  0.4883 -0.4797 ... -0.4092 -0.1437  0.9297]],[[-1.296   0.2737  0.3154 ... -0.6567  0.4956  1.679 ]],[[-0.2219   0.539   -0.4048  ... -0.1414   0.04996  1.368  ]],[[-3.387   2.105   1.062  ... -0.6265  1.365   1.597 ]],[[-0.8516   0.0975  -1.274   ... -0.01855 -0.2603   2.264  ]],[[-1.205   2.045  -0.9487 ... -1.625  -0.2396  1.601 ]],[[-0.6865   0.08014  1.116   ... -0.3625   0.1714   1.1045 ]]
127,are you a golfer,तू गोल्फपटू आहेस का,[[ 0.3547   0.4194   0.1877  ... -0.497   -0.4927  -0.00752]],[[ 0.12335  0.3918   0.3445  ...  0.3452  -0.1628   0.354  ]],[[ 0.0794  -0.048    0.4873  ...  0.1863   0.09766  0.843  ]],[[ 0.831   0.801  -0.1251 ...  0.3157 -0.0673  0.7505]],[[-0.0362  -0.05112  0.634   ...  0.1324  -0.7314   1.638  ]],[[ 0.957   0.4932 -0.268  ... -0.0773 -0.6484  1.096 ]],[[-0.04034  0.10693  0.4844  ...  0.834   -2.066    3.04   ]],[[ 0.4102   0.4167  -1.141   ...  0.02267 -1.014    1.763  ]],[[ 0.846   1.699   0.7515 ... -0.1493 -2.379   1.855 ]],[[-0.03488  1.112    1.075   ...  0.645   -0.634    0.3674 ]]
128,tom was the one who told me,मला ज्याने सांगितलं तो टॉमच,[[-0.1231  -0.4246   0.12115 ...  0.3342   0.5117   0.1113 ]],[[0.3472  0.02588 0.1124  ... 0.3147  0.06238 0.623  ]],[[ 0.602  -0.2766  0.2546 ... -0.204   0.3196  0.3455]],[[ 0.723   0.5513  0.0735 ...  0.2054 -0.0845  1.327 ]],[[ 0.5435 -0.2443  0.7476 ... -0.1158  0.1071  0.4697]],[[ 0.9785 -0.3137 -0.39   ...  0.8823 -0.614   1.403 ]],[[-0.1635 -0.3938  0.735  ...  0.726  -0.4604 -0.411 ]],[[ 0.8076  0.1163 -0.548  ...  0.6387 -0.3682  1.923 ]],[[ 0.0816 -0.1761  0.183  ... -0.9014 -0.3381 -0.7456]],[[-0.172   0.8276  1.902  ... -0.2015  0.613   0.2277]]
129,what time does this restaurant close,हे रेस्टॉरंट किती वाजता बंद होतं,[[-0.4082  0.0853  0.2314 ... -0.0376  0.1183 -0.2898]],[[ 0.1937   0.1266  -0.01822 ... -0.1799   0.01566 -0.2019 ]],[[-0.0645 -0.1257 -0.1031 ... -0.1727  0.2218  0.895 ]],[[ 0.1017   0.04132 -0.4011  ...  0.2979  -0.3948   0.1604 ]],[[-0.1791   0.0709  -0.559   ... -0.04977  0.1816   1.326  ]],[[ 0.2607  -0.2727  -0.5176  ...  0.07086 -0.5317   0.4644 ]],[[-1.296  -0.8535 -1.638  ...  0.1906  0.0519  1.514 ]],[[-0.454   -0.6045  -2.127   ...  0.05786 -1.469    1.528  ]],[[-0.977  -0.1367 -1.914  ... -0.2598  0.813   1.125 ]],[[-1.031   0.5483 -0.6187 ...  1.146  -0.2844 -0.993 ]]
130,japan is a strange country,जापान हा विचित्र देश आहे,[[-0.00891  0.1975   0.2627  ... -0.3633   0.209   -0.1619 ]],[[ 0.0741  -0.3708  -0.02977 ... -0.1301  -0.434    0.2437 ]],[[ 0.965    0.7256  -0.08777 ... -0.571    0.5312   0.5566 ]],[[ 0.632    0.502   -0.1932  ...  0.03616 -0.0717   1.01   ]],[[ 0.7856  0.4443  0.0781 ... -0.3333 -0.0988  1.35  ]],[[ 0.559   0.077  -0.3523 ...  0.0848 -0.2091  1.071 ]],[[ 0.616     0.9897    0.5986   ... -0.001368 -0.9414    0.421   ]],[[-0.1057  -0.04654 -1.405   ...  0.2705  -0.4688   1.565  ]],[[-0.326    1.411   -0.1731  ... -1.285   -0.11035  0.11896]],[[ 0.1932 -0.969  -1.078  ... -1.292   0.1968  0.2786]]
131,put your helmet on,हेल्मेट घाल,[[-0.3677  0.1863  0.4949 ...  0.377   0.3093  0.2278]],[[-0.8706   0.881    0.08215 ... -0.568   -0.1826   0.4185 ]],[[-0.3823  0.619   0.3372 ... -0.768   0.5     0.9688]],[[-0.1565  0.837  -0.1885 ... -0.8813  0.509   0.6084]],[[-0.9336  -0.5854  -0.03055 ... -1.023    1.099    0.96   ]],[[-0.0669   0.786   -0.1902  ... -0.4128   0.04248  0.10736]],[[-0.5845 -0.584   0.9253 ... -0.6855  2.408   2.502 ]],[[-1.094   0.4797 -0.786  ... -0.0526 -0.656   1.582 ]],[[-0.5483  1.507   0.5156 ... -0.874   1.231   0.796 ]],[[-1.685   0.4995  3.547  ...  0.8784 -0.536   0.709 ]]
